id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7210651,Best Location in Dublin. Large 1 Bed Sleeps 4.,37661430,Sean,,Dublin City,53.34195,-6.27655,Entire home/apt,125,3,213,2019-09-12,4.20,4,22
7213049,Architect's Home in the City Centre,35900818,Mícheál,,Dublin City,53.33893,-6.27907,Entire home/apt,140,2,248,2019-09-15,4.84,1,130
7214457,Cozy double room near Dublin Airport/City,37770456,Nuria & Enrique,,Fingal,53.49672,-6.14403,Private room,50,1,28,2016-10-15,0.55,1,298
7223692,Picture Perfect Family House,18366516,Ruth,,Fingal,53.40871,-6.16778,Entire home/apt,110,2,2,2016-06-25,0.05,1,0
7241004,Bright double room in Ranelagh,37715096,Sorla,,Dublin City,53.32211,-6.25394,Private room,65,100,5,2015-08-30,0.10,2,0
7254063,Luxury Double Bedroom and own Bathroom,37980297,Ally,,Dublin City,53.34028,-6.23425,Private room,160,3,0,,,1,0
7255750,Charming Artisan Home in Dubin 6,37722527,Jean,,Dublin City,53.32908,-6.26103,Entire home/apt,200,3,1,2019-06-09,0.28,2,2
7256198,"Cosy Double bed Urban Flat,Ranelagh",37988838,Róisín,,Dublin City,53.32482,-6.24881,Entire home/apt,79,3,4,2015-08-25,0.08,1,0
7268410,Big Double Room Great Location,31207437,Cillian,,Dublin City,53.38208,-6.24697,Private room,25,1,4,2015-09-04,0.08,1,0
7268735,"Spacious Home, Stunning Views!",27225265,City Centre Apartments,,Dublin City,53.34542,-6.23618,Entire home/apt,350,2,15,2019-09-19,0.84,2,286
7269130,Ideally situated single bedroom,37649276,Inese,,Fingal,53.39112,-6.11866,Private room,25,2,56,2019-09-06,1.11,3,227
7269423,City apartment beside Trinity College,38061803,Elaine,,Dublin City,53.34612,-6.24811,Entire home/apt,70,90,47,2019-05-20,0.93,1,89
7275429,Habitacion disponible en el centro,38091591,Enrique Borja,,Dublin City,53.35369,-6.24938,Private room,60,2,10,2016-07-10,0.20,1,0
7276073,Lovely City Centre Location,17880625,Malcolm,,Dublin City,53.34637,-6.25622,Entire home/apt,140,2,267,2019-09-10,5.22,5,120
7282883,Luxury Townhouse - Exclusive City Centre Location,13884564,Rachel,,Dublin City,53.34258,-6.24244,Entire home/apt,485,2,83,2019-09-07,1.63,1,3
7290341,Gorgeous Riverside Pad -Parking,2163000,Jerry,,Dublin City,53.34555,-6.24634,Entire home/apt,155,1,361,2019-09-10,7.09,6,175
7298739,Double Bedroom in city centre,34958501,Jan,,Dublin City,53.337,-6.27469,Private room,73,2,114,2019-05-12,2.27,2,84
7299362,"Design & Huge Apartment - 15"" walk to City Center",38233657,Laura,,Dublin City,53.35603,-6.24207,Entire home/apt,90,2,1,2016-08-03,0.03,2,0
7299730,Spacious Georgian House Near Centre,18778489,Verna,,Dublin City,53.33267,-6.27367,Private room,55,3,2,2016-06-16,0.04,1,0
7323991,"Camden Street, Nice city centre space to share",38366232,Tiziana,,Dublin City,53.33225,-6.26459,Private room,58,1,258,2019-09-22,5.09,1,16
7326924,Lovely location in Sandymount,30029268,Ann,,Dublin City,53.32543,-6.21594,Private room,76,2,66,2019-09-01,1.32,1,143
7327758,Private bedroom in Grand Canal Dock,27610202,Agustín,,Dublin City,53.34469,-6.23736,Private room,150,2,0,,,2,0
7328652,"""Seahorse "" seaside beach cottage",20109859,Katy,,Fingal,53.52562,-6.08794,Entire home/apt,80,2,262,2019-09-23,5.16,1,302
7344109,Friendly family house near village,38474266,Deirdre,,Dublin City,53.32995,-6.21452,Private room,80,2,76,2019-09-15,1.51,1,350
7345205,Stunning converted stable house!,27860046,Jillian,,Dublin City,53.33564,-6.24904,Private room,65,1,0,,,1,0
7346103,"Private room in D8, close to public transport",14281311,Declan,,Dublin City,53.33973,-6.31391,Private room,60,2,30,2019-09-24,2.83,1,266
7353069,Double room near City and Croke Pk,38529348,James And Caroline,,Dublin City,53.36429,-6.23593,Private room,50,6,53,2017-07-29,1.04,1,0
7355856,Duplex in the city Center,20051649,Ramzi,,Dublin City,53.35137,-6.272,Shared room,60,1,2,2015-08-09,0.04,1,0
7361592,Bright & Central Ensuite,38570259,Pablo,,Dublin City,53.33287,-6.25396,Private room,70,2,11,2016-09-10,0.22,1,0
7362210,Bright spacious 2 bedroom Townhouse,37398902,Carol,,Dn Laoghaire-Rathdown,53.28804,-6.1491,Entire home/apt,125,3,27,2019-09-08,0.54,1,32
7367253,Cosy Room at a beautiful home near UCD,7821247,Leo,,Dn Laoghaire-Rathdown,53.30832,-6.24198,Private room,47,2,118,2019-09-11,2.32,1,25
7380009,Quiet Ensuite Double Bedroom,19033083,Teresa,,Dn Laoghaire-Rathdown,53.30958,-6.24002,Private room,59,3,8,2016-08-30,0.16,7,0
7380547,Twin/Double Bedroom in Quiet House,19033083,Teresa,,Dn Laoghaire-Rathdown,53.30945,-6.241,Private room,59,3,6,2016-08-31,0.12,7,0
7380796,Single Room in Quiet House,19033083,Teresa,,Dn Laoghaire-Rathdown,53.30881,-6.24056,Private room,40,3,2,2015-08-31,0.04,7,0
7380947,Single Bedroom for lone traveller,19033083,Teresa,,Dn Laoghaire-Rathdown,53.30817,-6.24,Private room,40,2,11,2016-08-29,0.22,7,0
7385383,Cozy Apt Docklands in Gd Canal Dock,14537257,Amine,,Dublin City,53.34221,-6.2393,Entire home/apt,115,3,11,2017-01-01,0.22,1,0
7395563,1 bed available in city center (couples friendly),18579356,Marius,,Dublin City,53.35357,-6.26907,Private room,17,1,136,2019-09-16,2.68,3,161
7396937,Beautiful period home on seafront,38755795,Marion,,Dublin City,53.33277,-6.21203,Entire home/apt,350,1,0,,,1,0
7400449,Double Bedroom w/ Ensuite next to Trinity College,36382380,David-Alexander,,Dublin City,53.34435,-6.24803,Private room,51,4,8,2017-09-06,0.28,1,0
7401319,"Premium Apartment,Ringsend,Dublin 4",38780378,Catherine,,Dublin City,53.33953,-6.23568,Entire home/apt,85,1,2,2015-11-14,0.04,1,0
7412084,Cosy Dublin House with Terrace,33425978,Pierre,,Dublin City,53.32215,-6.26126,Entire home/apt,180,1,30,2017-07-29,0.60,1,0
7412897,Private room with ensuite bathroom,29496659,Pascal,,Dublin City,53.34783,-6.2445,Private room,85,3,21,2016-07-15,0.42,1,0
7413610,"Cosy City Centre Apartment, Christchurch  Dublin 8",19368543,Francesca,,Dublin City,53.34294,-6.27777,Entire home/apt,125,3,101,2019-09-03,2.01,1,0
7414125,Twin en suite room close to Airport,11259303,Moira,,Dublin City,53.38747,-6.23954,Private room,80,2,1,2015-08-23,0.02,4,267
7414933,Very best city centre location!,4462611,Brian,,Dublin City,53.34038,-6.27244,Entire home/apt,99,3,273,2019-09-17,5.43,1,25
7418150,Cosy bedroom along the River Liffey,38859648,Freddy,,Dublin City,53.3438,-6.27867,Private room,55,3,113,2019-09-02,2.25,1,12
7419894,Apartment Dublin City Centre,38867224,Sorcha,,Dublin City,53.3422,-6.24341,Entire home/apt,114,2,34,2018-08-26,0.67,1,11
7426003,"Luxury Double Bedroom, Grand Canal",38898844,Florian,,Dublin City,53.34309,-6.24061,Private room,70,2,26,2018-03-11,0.51,1,0
7450614,"Double Room, 10 mins from airport",39020603,Adrienne,,Fingal,53.45513,-6.23211,Private room,50,1,145,2019-08-26,2.86,2,76
7450650,"Single/twin room, close to airport",39020603,Adrienne,,Fingal,53.45344,-6.23189,Private room,32,1,330,2019-09-14,6.49,2,69
7455315,Bright bedroom in city centre,21439515,Anna,,Dublin City,53.34708,-6.27941,Private room,90,2,25,2016-10-28,0.49,1,0
7459001,Grand Canal Living - 2BD Apartment,8841065,Caroline,,Dublin City,53.335,-6.29805,Entire home/apt,150,2,98,2019-09-01,1.99,1,17
7472894,Large Double Room,39140595,Sinead,,Dublin City,53.3845,-6.25024,Private room,30,1,1,2015-08-11,0.02,1,0
7476727,Warm double room in City Centre Apt.,7098989,Kevin,,Dublin City,53.35819,-6.26217,Private room,80,2,7,2017-03-18,0.14,1,0
7514961,Double bed room for you !,13550701,Michela,,Dublin City,53.36463,-6.24297,Private room,50,3,7,2016-03-15,0.14,1,0
7521525,"Warm, Central, Cosy 1 Bedroom Apartm Dublin City",39408967,Michele,,Dublin City,53.35243,-6.231,Entire home/apt,60,5,7,2019-03-18,0.14,1,0
7524194,One Bedroom Suite,39428476,"PREMIER SUITES PLUS, Dublin Lesson",,Dublin City,53.33392,-6.25653,Private room,159,2,1,2019-06-15,0.29,2,92
7524392,Beautiful Apartment in Docklands,28045698,Ian,,Dublin City,53.34232,-6.23928,Entire home/apt,120,28,85,2019-08-18,1.69,1,38
7525262,Studio Suite,39428476,"PREMIER SUITES PLUS, Dublin Lesson",,Dublin City,53.33445,-6.25684,Private room,144,2,2,2019-06-10,0.04,2,60
7527861,Double room in Dublin city center,3737305,Javier,,Dublin City,53.34019,-6.27328,Private room,90,2,48,2019-09-24,0.95,2,229
7528046,Single room(R),15061499,Brian,,Fingal,53.38744,-6.13762,Private room,35,2,69,2019-09-23,1.40,3,83
7531892,Private Single / Double room.,39466580,Sharon,,South Dublin,53.2819,-6.45306,Private room,45,1,63,2019-06-14,1.24,2,360
7541239,Snuggle Up by the Sleek Fire at a Period Canalside Retreat,39511301,Wendy,,Dublin City,53.35644,-6.2448,Entire home/apt,120,3,226,2019-09-22,4.47,1,278
7542897,Luxury Apartment in Georgian House,39522840,Simon,,Dublin City,53.32928,-6.24332,Entire home/apt,150,14,79,2019-09-03,1.62,1,22
7546933,Clean Cozy room in safe area,37795580,Hermy,,Dublin City,53.33854,-6.23623,Private room,71,2,37,2018-05-31,0.76,1,0
7552182,Bright 2-Bed Apt- 15 mins from Dublin City Centre!,39581767,Brid,,Dublin City,53.33567,-6.2681,Entire home/apt,200,2,90,2019-02-02,1.82,1,0
7554718,Modern ensuite bedroom near centre,39596618,Hermy,,Dublin City,53.33765,-6.24397,Private room,43,3,1,2015-08-23,0.02,1,0
7559716,room available,38442859,Carmel,,Fingal,53.37249,-6.3495,Private room,55,1,17,2019-09-22,2.67,4,361
7561671,Contemporary Victorian Terrace,35983553,Eithne,,Dublin City,53.36464,-6.26009,Entire home/apt,250,3,8,2019-08-20,0.25,1,0
7562223,Appartment in the centre of Dublin,39643224,Lockydude007,,Dublin City,53.34923,-6.26528,Entire home/apt,115,2,13,2016-01-18,0.26,1,0
7569253,Single bedroom great location,31479839,Jenniffer,,Fingal,53.40245,-6.29697,Private room,36,1,16,2019-08-14,4.07,1,0
7572502,Modern double room in great location,25740488,Helen,,Dublin City,53.36236,-6.30196,Private room,70,4,14,2019-07-09,0.59,1,0
7581366,Grand Canal - Single Room!,38601256,Georg,,Dublin City,53.34215,-6.24313,Private room,70,1,4,2015-08-24,0.08,1,0
7586899,"Killiney,Dublin-Period Villa-Private Room 1 of 2",390963,Anthony,,Dn Laoghaire-Rathdown,53.24887,-6.12051,Private room,50,2,107,2019-09-19,2.13,2,324
7588087,Large House with gardens,32196540,Elaine,,Dublin City,53.3322,-6.29594,Entire home/apt,160,2,1,2018-08-12,0.07,2,0
7590197,Drimnagh Dublin 12 - 3 beds,7069462,Micheal,,Dublin City,53.33124,-6.3237,Entire home/apt,133,2,61,2019-09-06,1.22,10,42
7591021,Double bedroom in spacious Apt,38233657,Laura,,Dublin City,53.35546,-6.24068,Private room,65,1,0,,,2,0
7591842,Most central place in Dublin,4552279,Romain,,Dublin City,53.33881,-6.26266,Entire home/apt,90,1,2,2015-08-29,0.04,1,0
